count,x,y,reindexed_id,sensor_id
1,278.776,379.521,1,2
2,276.748,376.426,1,2
3,269.758,374.582,1,2
4,273.969,375.913,1,2
5,274.381,374.09,1,2
6,274.2,372.108,1,2
7,271.162,370.742,1,2
8,0,0,1,2
9,0,0,1,2
10,270.992,368.099,1,2
11,270.917,368.037,1,2
12,0,0,1,2
13,0,0,1,2
14,0,0,1,2
15,0,0,1,2
16,0,0,1,2
17,264.68,365.762,1,2
18,265.956,366.442,1,2
19,263.143,366.824,1,2
20,0,0,1,2
21,0,0,1,2
22,265.894,366.513,1,2
23,267.088,366.591,1,2
24,259.743,367.533,1,2
25,0,0,1,2
26,263.817,368.843,1,2
27,262.513,367.373,1,2
28,0,0,1,2
29,262.278,366.355,1,2
30,260.814,367.489,1,2
31,0,0,1,2
32,0,0,1,2
33,0,0,1,2
34,0,0,1,2
35,0,0,1,2
36,0,0,1,2
37,249.797,365.833,1,2
38,253.107,363.197,1,2
39,252.604,359.471,1,2
40,282.119,462.318,1,2
41,256.601,415.594,1,2
42,264.791,397.827,1,2
43,280.291,438.954,1,2
44,283.479,436.97,1,2
45,284.609,430.795,1,2
46,287.482,427.565,1,2
47,291.699,424.297,1,2
48,292.084,422.194,1,2
49,295.39,419.976,1,2
50,296.513,418.741,1,2
51,297.548,414.771,1,2
52,300.281,412.663,1,2
53,303.737,403.428,1,2
54,0,0,1,2
55,0,0,1,2
56,0,0,1,2
57,0,0,1,2
58,0,0,1,2
59,0,0,1,2
60,0,0,1,2
61,0,0,1,2
62,0,0,1,2
63,0,0,1,2
64,0,0,1,2
65,0,0,1,2
66,0,0,1,2
67,0,0,1,2
68,0,0,1,2
69,0,0,1,2
70,0,0,1,2
71,0,0,1,2
72,0,0,1,2
73,0,0,1,2
74,0,0,1,2
75,0,0,1,2
76,0,0,1,2
77,0,0,1,2
78,0,0,1,2
79,0,0,1,2
80,239.789,348.198,1,2
81,240.489,344.852,1,2
82,241.905,344.09,1,2
83,239.508,345.666,1,2
84,0,0,1,2
85,237.166,342.747,1,2
86,240.588,346.043,1,2
87,0,0,1,2
88,0,0,1,2
89,0,0,1,2
90,232.136,344.216,1,2
91,0,0,1,2
